epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15247,1.04149,2.27286,1.42689,0.61806,0.88979,0.88772,0.63125,1.39864,1.32862,1.25428,0,0,0
2,4.12859,0.8332,1.59203,1.06244,0.60738,0.89672,0.88797,0.6114,1.41912,1.34956,1.25983,1.16117e-06,1.16117e-06,1.16117e-06
3,6.02505,1.16829,3.53388,1.19126,0.66058,0.83333,0.87397,0.60814,1.44035,1.34371,1.26531,2.155e-06,2.155e-06,2.155e-06
4,7.83725,0.80678,1.88726,1.16667,0.6785,0.83333,0.87201,0.59842,1.45372,1.37811,1.26711,2.84155e-06,2.84155e-06,2.84155e-06
5,9.72241,0.90828,1.97279,1.35144,0.69364,0.75,0.87256,0.59644,1.47446,1.41377,1.27822,3.13191e-06,3.13191e-06,3.13191e-06
6,11.6269,0.92285,1.62505,1.24969,0.69017,0.75,0.89248,0.60592,1.4887,1.44221,1.28134,3.00475e-06,3.00475e-06,3.00475e-06
7,13.5573,1.01807,2.33835,1.29549,0.70211,0.75,0.89253,0.61932,1.51654,1.46482,1.29566,2.51354e-06,2.51354e-06,2.51354e-06
8,15.5669,0.9219,1.68207,1.16684,0.6521,0.75,0.88523,0.60579,1.52446,1.54333,1.31039,1.78301e-06,1.78301e-06,1.78301e-06
9,17.5787,0.88926,2.13967,1.25455,0.6521,0.75,0.88523,0.60579,1.52446,1.54333,1.31039,9.95188e-07,9.95188e-07,9.95188e-07
10,19.5732,0.88759,1.9749,1.26779,0.70042,0.75,0.74887,0.59263,1.52057,1.60666,1.31552,3.66571e-07,3.66571e-07,3.66571e-07
